Show_Id,Category,Title,Director,Country,Release_Date,Rating,Duration,Description,Duration_per_Episode
s1,1,3%,Unknown,Brazil,2020-08-14,TV-MA,93.0,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",9.3
s2,0,07:19,Jorge Michel Grau,Mexico,2016-12-23,TV-MA,93.0,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",9.3
s3,0,23:59,Gilbert Chan,Singapore,2018-12-20,R,78.0,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",7.8
s4,0,9,Shane Acker,United States,2017-11-16,PG-13,80.0,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",8.0
s5,0,21,Robert Luketic,United States,2020-01-01,PG-13,123.0,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,12.3
s6,1,46,Serdar Akar,Turkey,2017-07-01,TV-MA,60.0,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",6.0
s7,0,122,Yasir Al Yasiri,Egypt,2020-06-01,TV-MA,95.0,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",9.5
s8,0,187,Kevin Reynolds,United States,2019-11-01,R,119.0,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",11.9
s9,0,706,Shravan Kumar,India,2019-04-01,TV-14,118.0,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",11.8
s10,0,1920,Vikram Bhatt,India,2017-12-15,TV-MA,143.0,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,14.3
s11,0,1922,Zak Hilditch,United States,2017-10-20,TV-MA,103.0,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",10.3
s12,1,1983,Unknown,"Poland, United States",2018-11-30,TV-MA,60.0,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",6.0
s13,1,1994,Diego Enrique Osorno,Mexico,2019-05-17,TV-MA,60.0,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",6.0
s14,0,"2,215",Nottapon Boonprakob,Thailand,2019-03-01,TV-MA,89.0,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",8.9
s15,0,3022,John Suits,United States,2020-03-19,R,91.0,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",9.1
s16,0,Oct-01,Kunle Afolayan,Nigeria,2019-09-01,TV-14,149.0,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",14.9
s17,1,Feb-09,Unknown,Unknown,2019-03-20,TV-14,60.0,"As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",6.0
s18,0,22-Jul,Paul Greengrass,"Norway, Iceland, United States",2018-10-10,R,144.0,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",14.4
s19,0,15-Aug,Swapnaneel Jayakar,India,2019-03-29,TV-14,124.0,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",12.4
s20,0,'89,Unknown,United Kingdom,2018-05-16,TV-PG,87.0,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",8.7
s21,0,​​Kuch Bheege Alfaaz,Onir,India,2018-09-01,TV-14,110.0,"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",11.0
s22,0,​Goli Soda 2,Vijay Milton,India,2018-09-15,TV-14,128.0,"A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",12.8
s23,0,​Maj Rati ​​Keteki,Santwana Bardoloi,India,2018-09-15,TV-14,117.0,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",11.7
s24,0,​Mayurakshi,Atanu Ghosh,India,2018-09-15,TV-14,100.0,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",10.0
s25,1,​SAINT SEIYA: Knights of the Zodiac,Unknown,Japan,2020-01-23,TV-14,120.0,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",12.0
s26,0,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",United States,2016-06-30,NR,84.0,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,8.4
