Show_Id,Type
s1,398
s2,310
s3,336
s4,47
s5,294
s6,397
s7,336
s8,294
s9,336
s10,339
s11,330
s12,232
s13,223
s14,270
s15,346
s16,316
s17,395
s18,330
s19,188
s20,448
s21,303
s22,36
s23,310
s24,310
s25,74
s26,261
s27,427
s28,339
s29,267
s30,465
s31,267
s32,313
s33,313
s34,177
s35,218
s36,274
s37,189
s38,189
s39,376
s40,206
s41,206
s42,336
s43,206
s44,310
s45,56
s46,232
s47,323
s48,325
s49,209
s50,189
s51,0
s52,377
s53,267
s54,285
s55,315
s56,423
s57,261
s58,310
s59,97
s60,310
s61,308
s62,362
s63,335
s64,251
s65,222
s66,343
s67,261
s68,423
s69,48
s70,343
s71,261
s72,0
s73,177
s74,303
s75,310
s76,335
s77,332
s78,206
s79,189
s80,273
s81,232
s82,350
s83,445
s84,302
s85,177
s86,107
s87,395
s88,232
s89,47
s90,0
s91,36
s92,316
s93,23
s94,261
s95,186
s96,362
s97,0
s98,316
s99,317
s100,315
s101,189
s102,263
s103,206
s104,206
s105,18
s106,310
s107,313
s108,310
s109,414
s110,359
s111,261
s112,404
s113,374
s114,118
s115,188
s116,213
s117,316
s118,23
s119,188
s120,206
s121,192
s122,218
s123,188
s124,310
s125,206
s126,302
s127,36
s128,33
s129,306
s130,339
s131,427
s132,205
s133,490
s134,310
s135,276
s136,208
s137,316
s138,279
s139,279
s140,279
s141,279
s142,74
s143,95
s144,208
s145,316
s146,137
s147,267
s148,114
s149,177
s150,313
s151,303
s152,327
s153,393
s154,15
s155,218
s156,131
s157,209
s158,50
s159,323
s160,136
s161,136
s162,136
s163,423
s164,118
s165,124
s166,163
s167,323
s168,118
s169,330
s170,267
s171,294
s172,423
s173,51
s174,310
s175,177
s176,302
s177,200
s178,114
s179,114
s180,114
s181,377
s182,261
s183,261
s184,196
s185,332
s186,303
s187,125
s188,206
s189,396
s190,274
s191,491
s192,362
s193,310
s194,261
s195,270
s196,490
s197,303
s198,451
s199,379
s200,376
s201,261
s202,313
s203,226
s204,211
s205,206
s206,327
s207,330
s208,261
s209,267
s210,318
s211,178
s212,310
s213,330
s214,223
s215,304
s216,306
s217,261
s218,136
s219,368
s220,206
s221,449
s222,359
s223,313
s224,271
s225,310
s226,412
s227,200
s228,118
s229,64
s230,304
s231,316
s232,302
s233,294
s234,118
s235,303
s236,395
s237,310
s238,267
s239,218
s240,395
s241,177
s242,395
s243,114
s244,206
s245,114
s246,310
s247,425
s248,215
s249,392
